State,Inflation_%,Total_Construction_Value,Total_Economic_Hit
Maharashtra,5.0693,16759.14,849.57
Tamil_Nadu,5.0693,10918.6,553.49
Karnataka,5.0693,10675.73,541.18
Uttar_Pradesh,5.0693,10565.58,535.6
Gujarat,5.0693,10140.6,514.05
West_Bengal,5.0693,6974.95,353.58
Rajasthan,5.0693,6242.8,316.46
Telangana,5.0693,6032.21,305.79
Andhra_Pradesh,5.0693,6026.43,305.5
Madhya_Pradesh,5.0693,5623.04,285.05
Kerala,5.0693,4780.47,242.34
Delhi,5.0693,4601.06,233.24
Haryana,5.0693,4485.92,227.4
Bihar,5.0693,3512.24,178.05
Odisha,5.0693,3291.79,166.87
Punjab,5.0693,3187.12,161.56
Assam,5.0693,2232.0,113.15
Chhattisgarh,5.0693,2111.91,107.06
Jharkhand,5.0693,1906.73,96.66
Uttarakhand,5.0693,1346.93,68.28
Jammu_&_Kashmir,5.0693,965.62,48.95
Himachal_Pradesh,5.0693,883.74,44.8
Goa,5.0693,431.1,21.85
Tripura,5.0693,325.07,16.48
Meghalaya,5.0693,215.54,10.93
Sikkim,5.0693,196.41,9.96
Manipur,5.0693,177.3,8.99
Arunachal_Pradesh,5.0693,164.35,8.33
Nagaland,5.0693,163.97,8.31
Mizoram,5.0693,138.91,7.04
