2022-23 Social Accounting Matrix for India,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,atoba,acott,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,ctoba,ccott,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,atax,dtax,mtax,stax,s-i,dstk,row,total
Activities - Maize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1871411920791627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18012601018089053,0.2687790836660427,0.18966669882891826,0.10463793214896962,0.04354394927910367,0.0,0.0,0.0001288108252010908,0.00029872079785358093,0.0058738958692072605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9801962937042257
Activities - Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.432990226731191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5189537372232947,0.5304905159610821,0.5630247324558714,0.49885030206210357,0.2963885293908625,0.004202928595984253,0.009173638588811178,0.011542554442453522,0.021792141016045503,0.04168773124070732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.929097036993165
Activities - Other cereals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2463048095742821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43479020638911264,0.5270474705865155,0.5465180329375091,0.48316152256045464,0.3015222842208628,0.004226388169568832,0.011899411284372953,0.016736515380222947,0.02302282661943595,0.03963700416051317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.634866472064993
Activities - Pulses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6939185482351922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008606732578732536,0.009011919564515669,0.008710910246379266,0.007722932029686691,0.004685931852946241,2.5885431517240435e-05,0.00014719678118248436,0.00021689590502679365,0.00035221835381175865,0.0005999191287936493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7339990905320433
Activities - Oilseeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9625281536351493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024888213910099267,0.0029860053050795037,0.004252444395199416,0.005504862150680831,0.004621798274666969,2.180265900004508e-05,7.133576619314027e-05,3.173774486551322e-05,0.0001703546057649909,0.0008733385960708271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.983550654197157
Activities - Roots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.171534816923334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006133615240093184,0.0063332976547091245,0.007522779787433135,0.006397788719810061,0.006063865980421115,5.3994880446258e-05,0.00010546311042127208,0.0003171677704545593,0.00042051439194245693,0.0012220901176999237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2061053948766336
Activities - Vegetables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8728796761499673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02452649507459199,0.029896153590025534,0.03238791920091244,0.030929690362902332,0.02244421524187398,0.00028572044399622227,0.0006600073459543829,0.0010867482874003993,0.0016357267674603747,0.002800097598633403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.019532451059949
Activities - Sugarcane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8979948158405355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.197402297770756e-10,6.331217012303966e-10,7.007965168946928e-10,6.71601521007875e-10,4.78291709729294e-10,5.022334499937642e-12,1.3229208106890464e-11,2.0697493964588842e-11,3.244657231082339e-11,-4.7932125898128464e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8979948191724099
Activities - Tobacco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1374599448545171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7800371359495336e-05,7.84025167363136e-05,0.0001568821297190408,0.000139258872042146,0.00010596016835938422,2.259823957499009e-06,0.0,9.757783490402012e-07,1.548363220628464e-06,4.438707795918644e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13799747163048157
Activities - Cotton and fibres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7362105167896997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7362105167896997
